nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
OPERA NATIONAL DE BORDEAUX,16167670,
ASSOCIATION DES CENTRES D'ANIMATION DE QUARTIERS DE BORDEAUX - ACAQB,8060927.5,"Communication, locaux, équipements sportifs,"
CCAS DE BORDEAUX,7912204,
ECOLE D'ENSEIGNEMENT SUPÉRIEUR D'ART DE BORDEAUX - ESAB,3120000,
ASSOCIATION PITCHOUN,1735000,Locaux
THEATRE NATIONAL DE BORDEAUX EN AQUITAINE - TNBA,1646816,"Communication, locaux"
ASSOCIATION PETITE ENFANCE ENFANCE ET FAMILLE - APEEF,1578403,"Locaux, matériel pour manifestations"
UNION SAINT-BRUNO ,1537650,"Locaux, équipements sportifs, matériel pour"
SPORTING CHANTECLER BORDEAUX NORD LE LAC ,1128560,"Locaux, équipements sportifs, matériel pour"
AVANT GARDE ET JEANNE D'ARC DE BORDEAUX CAUDERAN - AGJA BORDEAUX CAUDERAN,1089439,"Locaux, équipements sportifs, matériel pour"
UNION SPORTIVE LES CHARTRONS ,896350,"Locaux, équipements sportifs, matériel pour"
LES JEUNES DE SAINT AUGUSTIN - JSA ,892663,"Locaux, équipements sportifs, matériel pour"
UNION SAINT JEAN - MAISON DE QUARTIER ,879983,"Locaux, équipements sportifs, matériel pour"
STADE BORDELAIS ASPTT ,819458,"Locaux, équipements sportifs, matériel pour"
ARC EN REVE,752250,"Communication, matériel pour manifestations, locaux"
"MAISON DE L'EMPLOI, DE L'INSERTION ECONOMIQUE ET DE L'ENTREPRISE DE BORDEAUX",678000,
"CLUB PYRENEES AQUITAINE, ASSOCIATION SPORTIVE, EDUCATIVE ET CULTURELLE",634600,"Locaux, équipements sportifs, matériel pour"
P'TIT BOUT'CHOU,567000,Matériel pour manifestations
ASSOCIATION BRINS D'EVEIL,532800,
ASSOCIATION DE GESTION ET D'ANIMATION DES CRECHES C.S.F. (AGEAC/CSF),512833.33,
MISSION LOCALE BORDEAUX AVENIR JEUNES,494000,"Locaux, matériel pour manifestations"
GP INTENCITE CENTRE SOCIAL ET CULTUREL DU GRAND PARC,492222,"Locaux, matériel pour manifestations"
INTERLUDE,478850,"Locaux, matériel pour manifestations"
CENTRE SOCIAL ET FAMILIAL BORDEAUX NORD ,461165,"Locaux, équipements sportifs, matériel pour"
AMICALE LAIQUE DAVID JOHNSTON LAGRANGE ALBERT BARRAUD NAUJAC,450195,Equipements sportifs
SASP UNION BORDEAUX BEGLES,450000,Matériel pour manifestations
FOYER FRATERNEL,426565,"Locaux, matériel pour manifestations"
FESTIVAL DES ARTS DE BORDEAUX,402000,"Communication, locaux"
ASSOCIATION DU COMITE DES OEUVRES SOCIALES DES MUNICIPAUX DE BORDEAUX - ACOSMB,380000,Matériel pour manifestations
POLE D'ENSEIGNEMENT SUPERIEUR DE LA MUSIQUE ET DE LA DANSE DE BORDEAUX AQUITAINE - PESMD,357672,Locaux
AUTEUIL PETITE ENFANCE,347000,
LES COQS ROUGES,343924,"Equipements sportifs, matériel pour manifestations"
BORDEAUX GRANDS EVENEMENTS (BGE),339500,"Communication, locaux"
GESTION DU CENTRE DE LOISIRS DE LA POSTE ALEMA,334000,
ASSOCIATION PETITS BOUCHONS,311500,
ASSOCIATION POUR L'INNOVATION EN MATIERE D'INTEGRATION,300000,
BOXERS DE BORDEAUX,283000,
SASP JSA BORDEAUX METROPOLE,280000,Matériel pour manifestations
CLUB ATHLETIQUE MUNICIPAL DE BORDEAUX - CAM ,243834,"Locaux, équipements sportifs, matériel pour"
LES ENFANTS D'OSIRIS,240000,
PARALLELES ATTITUDES DIFFUSION - ROCKSCHOOL ,237000,"Locaux, matériel pour manifestations, matériel"
BORDEAUX ETUDIANTS CLUB - BEC ,223734,"Locaux, équipements sportifs, matériel pour"
EVEILLEZ LES BEBES,210000,
LES PARENTS DE CAUDERAN,205000,
LUCILANN,200000,
BORDEAUX GIRONDE INVESTISSEMENT,198775,Matériel pour manifestations
LA MANUFACTURE ATLANTIQUE ,198000,"Communication, locaux, matériel pour"
GROUPEMENT D'INTERET PUBLIC BORDEAUX MEDIATION,190000,
ESCALES LITTERAIRES BORDEAUX AQUITAINE,185000,"Communication, locaux, matériel pour manifestations"
ASSOCIATION LA COCCINELLE,180000,
O'PTIMÔMES LOISIRS,170592,
ASTROLABE,153407,"Locaux, matériel pour manifestations"
GIRONDINS DE BORDEAUX BASTIDE HANDBALL CLUB ,141174,"Locaux, équipements sportifs, matériel pour"
LES GIRONDINS DE BORDEAUX ,132000,"Locaux, équipements sportifs, matériel pour"
NUAGE BLEU,130000,Locaux
OGEC LYCEE BEL ORME,120000,
LA RONDE DES QUARTIERS DE BORDEAUX,119100,"Communication, locaux, matériel pour manifestations"
VILLA PRIMROSE ,119000,"Communication, équipements sportifs, matériel pour"
EMULATION NAUTIQUE DE BORDEAUX ,118603,"Locaux, équipements sportifs, matériel pour"
CAISSE SOCIALE DE DEVELOPPEMENT LOCAL,115000,
COS VILLA PIA - EHPAD LES DAMES DE LA FOI,115000,Matériel pour manifestations
GLOB THEATRE,115000,"Locaux, matériel pour manifestations"
MAISON DES JEUNES ET DE LA CULTURE CENTRE DE LOISIRS DES DEUX VILLES - MJC CL2V,110350,Matériel pour manifestations
ECOLE SUPERIEURE DE THEATRE BORDEAUX AQUITAINE - ESTBA,109834,
UNIS CITE,105000,"Locaux, matériel pour manifestations"
FOOTBALL CLUB DES GIRONDINS DE BORDEAUX - FCGB,100000,Equipements sportifs
UNION BORDEAUX METROPOLE - UBM,83680,"Locaux, équipements sportifs"
AMICALE DES ETABLISSEMENTS SCOLAIRES LAIQUES DE BACALAN - ALB,82238,"Locaux, équipements sportifs, matériel pour"
CAP SCIENCES,81568,
BORDEAUX MERIGNAC VOLLEY,80000,Equipements sportifs
LA HALLE DES DOUVES,80000,Locaux
"SOLIHA, SOLIDAIRES POUR L'HABITAT, GIRONDE",73900,Locaux
SEMER LE DOUTE ,73250,"Communication, locaux, matériel pour"
HALTE 33,66000,
RESEAU PAUL BERT CENTRE SOCIAL ET CULTUREL,64000,
AGENCE D'URBANISME BORDEAUX METROPOLE AQUITAINE (A'URBA),60000,
CHAHUTS,57500,"Communication, locaux, matériel pour manifestations"
LA CAISSE A OUTILS,57005,
LA MEMOIRE DE BORDEAUX METROPOLE,56105,"Locaux, matériel informatique"
MAISON DE L'EUROPE BORDEAUX-AQUITAINE (MEBA),56000,Locaux
ASSOCIATION LAIQUE LE PRADO,55000,
LES PETITS DEBROUILLARDS AQUITAINE,54201,Matériel pour manifestations
FONDATION D'AUTEUIL AQUITAINE,52500,Locaux
THEATRE DU PONT TOURNANT,52250,
REGIE DE QUARTIER HABITER BACALAN,51000,Locaux
ASSOCIATION DE DEFENSE DES MUSIQUES ALTERNATIVES EN AQUITAINE - ADMAA (ALLEZ LES FILLES),50580,"Communication, matériel pour manifestations"
ASSOCIATION UNION BORDEAUX BEGLES,50000,Matériel pour manifestations
LA CITE DU VIN,50000,
LE SERVICE GAGNANT,50000,
MAIRES RESPONSABLES METROPOLES FRANCOPHONES - AIMF,50000,
CENTRE D'INFORMATION JEUNESSE AQUITAINE - CIJA,49000,"Locaux, matériel pour manifestations"
"ECOLE DE CIRQUE DE BORDEAUX, CENTRE CULTUREL DES ARTS DU CIRQUE",46500,Locaux
MAISON DE NOLAN,46000,
ASSOCIATION GIRONDINE D'EDUCATION SPECIALISEE ET DE PREVENTION SOCIALE - AGEP,45400,Locaux
ATELIER GRAPHITE,44200,Locaux
COMPAGNIE DES MARCHES DE L'ETE,41500,"Communication, locaux, matériel pour manifestations"
MUSIQUES DE NUIT - DIFFUSION,40700,"Communication, matériel pour manifestations"
CONGRES ET EXPOSITIONS DE BORDEAUX,40000,"Communication, matériel pour manifestations"
ASSOCIATION PROMOTION INSERTION SPORT EN AQUITAINE - APIS,37754,"Equipements sportifs, matériel pour manifestations"
MIGRATIONS CULTURELLES AQUITAINE - AFRIQUES (MC2A) ,37500,"Locaux, matériel pour manifestations, matériel"
ASSOCIATION DU LIEN INTERCULTUREL FAMILIAL ET SOCIAL - ALIFS,37000,"Locaux, matériel pour manifestations"
BORDEAUX BASTIDE BASKET,35895,"Equipements sportifs, matériel pour manifestations"
MANA,35500,"Locaux, matériel pour manifestations"
GROUPEMENT D'INTERET PUBLIC DE LA REUSSITE EDUCATIVE DE BORDEAUX,35000,
QUATUORS A BORDEAUX,35000,"Communication, locaux, matériel pour manifestations"
FORUM AVIGNON,33251,
TRANSFERT,32987.75,"Communication, locaux, matériel pour manifestations"
CIE LE SOLEIL BLEU,32500,
PROMO-FEMMES SAINT MICHEL,31500,Locaux
ENSEMBLE PYGMALION,31000,
BANQUE ALIMENTAIRE DE BORDEAUX ET DE LA GIRONDE,30500,"Locaux, matériel pour manifestations"
ANPAA - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET EN ADDICTOLOGIE,30000,Locaux
BORDEAUX GIRONDE HOCKEY SUR GLACE,30000,
CENTRE D'ACCUEIL D'INFORMATION ET D'ORIENTATION - CAIO,30000,Matériel pour manifestations
DIACONAT DE BORDEAUX,30000,Locaux
RESEAU AQUITAIN DEVELOPPEMENT SOLIDARITE INTERNATIONALE,29985,
LES JARDINS D'AUJOURD'HUI,29750,"Locaux, matériel pour manifestations"
MASCARETS,29000,"Locaux, matériel pour manifestations"
URBAN VIBRATIONS SCHOOL,28500,"Locaux, matériel pour manifestations"
BORDEAUX SPORTS DE GLACE,28000,Locaux
COLLECTIF DE RESSOURCES BORDEAUX-NORD,28000,Matériel pour manifestations
ASSOCIATION SPORTIVE CHARLES MARTIN - USEP,27778,
ASSOCIATION FAMILIALE LAIQUE DE BORDEAUX NORD - AFL,27500,"Locaux, matériel pour manifestations"
ECLATS,27000,Locaux
ORGAN PHANTOM ,27000,"Locaux, matériel pour manifestations, matériel"
ASSOCIATION POUR UNE EDUCATION BUISSONNIERE,25062,
