nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
INSTITUT FRANCAIS,25000,
TRAFIC,25000,
"IPPO (INFORMATION, PREVENTION, PROXIMITE, ORIENTATION)",24500,Locaux
COMPAGNIE REVOLUTION DANCE,23000,
L'EPICERIE,23000,Locaux
LE SPORTING-CLUB DE LA BASTIDIENNE ,23000,"Locaux, équipements sportifs, matériel pour"
ZEBRA 3,23000,Locaux
LE KIOSQUE CULTURE,22500,Locaux
OUVRE LE CHIEN (DANS L'IMMEDIAT),22500,
ACADEMIE YOUNUS ,22000,"Locaux, équipements sportifs, matériel pour"
ACINQBYS_ESPACE 29 A5BIS,22000,
LA BOITE A JOUER,22000,
RACING CLUB DE BORDEAUX METROPOLE,22000,"Equipements sportifs, matériel pour manifestations"
BORDEAUX ENTREPRENEURS,21600,Locaux
VENUS,21500,
POLE MAGNETIC,21350,"Locaux, matériel pour manifestations"
AQUINUM - ASSOCIATION DES PROFESSIONNELS DU NUMERIQUE EN AQUITAINE,21000,"Locaux, matériel pour manifestations"
BORDEAUX SERVICE SOLIDARITE,21000,
INCUBATEUR AU FEMININ BORDEAUX AQUITAINE,21000,
O SOL DE PORTUGAL,20686,
CENTRE JEAN VIGO EVENEMENTS,20500,"Communication, locaux, matériel pour manifestations"
COMITE D'ETUDE ET D'INFORMATION SUR DROGUE (PREV. ET TRAITEMENT TOXICOMANIES ET AUTRES ADDICTIONS),20500,"Locaux, équipements sportifs, matériel pour"
AIM ACTIONS INTER MEDIATION,20060,
UNION SPORTIVE JEUNES DE SAINT-AUGUSTIN - CLUB PYRENEES-AQUITAINE (US JSA-CPA),19500,Matériel pour manifestations
9-33,19000,"Communication, locaux"
CIRQUE ECLAIR ECOLE CIRQUE D'AQUITAINE,19000,
SURF INSERTION,19000,
LE KFE DES FAMILLES,18800,Matériel pour manifestations
MONOQUINI,17528,
COMPAGNIE PAUL LES OISEAUX,17500,
COMPAGNIE THEATRE L'OEIL DE LA LUCARNE,17000,
N'A QU'UN OEIL,17000,
YAKAFAUCON,17000,"Locaux, matériel pour manifestations"
SOCIETE ARCHEOLOGIQUE DE BORDEAUX,16770,Locaux
LYCEE PROFESSIONNEL JEHAN DUPERIER,16628.76,
COMPAGNONS BATISSEURS AQUITAINE,16000,
FEDERATION DES SOCIETES CARNAVALESQUES DE L'AGGLOMERATION BORDELAISE,16000,Matériel pour manifestations
GROUPE ANAMORPHOSE,16000,
L'ATELIER REMUMENAGE,16000,Locaux
LYCEE VITICOLE-CFPPA CHATEAU DILLON (EPLEFPA),15920.46,
CLUB DES ENTREPRISES DE BORDEAUX,15800,Matériel pour manifestations
ASSOCIATION DE SOUTIEN AUX INVENTIONS LIBRES (ASIL),15500,"Communication, locaux, matériel pour manifestations"
FAMILLES EN GIRONDE - FEDERATION DE LA GIRONDE,15500,Locaux
ASSOCIATION ALCHIMIST,15280,
AMOS,15000,
BRUIT DU FRIGO,15000,Matériel pour manifestations
CARTOONING FOR PEACE,15000,
CONSEIL DEPARTEMENTAL DES ASSOCIATIONS FAMILIALES LAIQUES DE LA GIRONDE - CDAFAL 33,15000,Locaux
ENTREPRISE INTERMEDIAIRE DE PRODUCTION ET DE FORMATION - EIPF,15000,Locaux
FONDS REGIONAL D'ART CONTEMPORAIN - COLLECTION AQUITAINE,15000,Communication
LA FABRIQUE POLA,15000,"Locaux, matériel pour manifestations"
UNION DEPARTEMENTALE DES CADRES DE LA GIRONDE,15000,
CENTRE SOCIAL BAGATELLE DISPENSAIRE DE BAGATELLE,14800,
ENTR-AUTRES,14800,
MAISON DES ADOLESCENTS DE LA GIRONDE,14653.49,"Locaux, matériel pour manifestations"
BORDEAUX ROCK,14500,"Communication, matériel pour manifestations, locaux"
EINSTEIN ON THE BEACH,14000,Locaux
ITINERAIRES DES PHOTOGRAPHES VOYAGEURS,14000,"Communication, locaux"
LE 308,14000,
LES LEOPARDS DE GUYENNE,14000,Equipements sportifs
OPERA PAGAI,14000,
BORDEAUX ATHLETIC CLUB ,13600,"Locaux, équipements sportifs, matériel pour"
ENVOL D'AQUITAINE ,13050,"Locaux, équipements sportifs, matériel pour"
LA COMA,13000,
YAWATA ASSOCIATION DES ECHANGES DE PROCEDES ARTISTIQUES,13000,Matériel pour manifestations
INSTITUT D'ETUDES POLITIQUES SCIENCES PO,13000,
AQUITEC,12000,Matériel pour manifestations
INFODROITS,12000,
MAISON DE L'INITIATIVE ET DE L'ENTREPRENEURIAT - MIE,12000,Matériel pour manifestations
TRAVAUX PUBLICS COMPAGNIE,12000,
LE 4 DE BORDEAUX,11950,"Locaux, matériel pour manifestations"
CENTRE CULTUREL ET D'ANIMATION DES JEUNES - YAVNE,11620,
BOXING CLUB BORDELAIS,11500,Equipements sportifs
CENTRE DE PREVENTION ET DE LOISIRS DES JEUNES DE BORDEAUX - CPLJ Bordeaux,11500,Locaux
LETTRES DU MONDE,11500,"Communication, locaux"
COMPAGNIE PRESENCE MICHEL CAHUZAC,11380,Locaux
COULEURS GARONNE,11176,
AMIS DE L'ORCHESTRE D'HARMONIE DE BORDEAUX,11011,
AIR ROLLER (ATTENTION INERTIE RENOUVELABLE),11000,"Locaux, équipements sportifs"
ASSOCIATION DES COMMERCANTS ET RIVERAINS DU QUARTIER VICTOIRE,11000,Matériel pour manifestations
COLLECTIF OS'O,11000,
CONTRÔLE Z AQUITAINE,10730,
CHAMBRE DES METIERS DE LA GIRONDE,10536.77,
JEUNES SCIENCE BORDEAUX,10083,"Locaux, matériel pour manifestations"
"ACIDD, ASSOCIATION COMMUNICATION ET INFORMATION POUR LE DEVELOPPEMENT DURABLE",10000,Locaux
ASSOCIATION EMMAUS AQUITAINE BORDEAUX FONDATEUR ABBE PIERRE,10000,"Communication, locaux"
CENTRE D'ACTION ET DE PREVENTION CONTRE LA RADICALISATION LIEE A L'ISLAMISME (CAPRI),10000,Locaux
CENTRE RENCONTRES ACTION CULTURELLE BEGLES-CREAC,10000,
DISPARATE,10000,Locaux
IUFN,10000,
L'OUMIGMAG,10000,"Locaux, matériel pour manifestations"
MOUVEMENT ATD QUART MONDE,10000,"Locaux, matériel pour manifestations"
NEW BASKET ATTITUDE,10000,Equipements sportifs
PERMANENCES DE LA LITTERATURE,10000,"Communication, matériel informatique"
PROXIMA CENTAURI,10000,
RESEAU ENTREPRENDRE AQUITAINE,10000,Matériel pour manifestations
RESTAURANTS DU COEUR - RELAIS DU COEUR DE LA GIRONDE,10000,Locaux
SOCIETE PHILOMATHIQUE DE BORDEAUX,10000,Locaux
STADE BASTIDE BORDEAUX BENAUGE - S3B,10000,"Locaux, équipements sportifs"
TERRE ET OCEAN,10000,Locaux
SEW & LAINE,9980,"Locaux, matériel pour manifestations"
ARESVI,9880,
RICOCHET SONORE,9750,"Locaux, matériel pour manifestations"
CULTURES DU COEUR GIRONDE,9600,
RECHERCHES ET SOLIDARITES,9520,
DROP DE BETON,9500,Matériel pour manifestations
LES VIVRES DE L'ART,9500,Matériel pour manifestations
SOCIETE DE SAINT-VINCENT-DE-PAUL - CONSEIL DEPARTEMENTAL DE LA GIRONDE,9500,Locaux
ASSOCIATION DES COMMERCANTS DE CAUDERAN SAINT AMAND,9400,
INSTITUT FRANCAIS DE GEORGIE,9000,
L'AGENCE CREATIVE,9000,Locaux
LA FLECHE DE BORDEAUX ,9000,"Locaux, équipements sportifs, matériel pour"
LES P'TITS GRATTEURS,9000,"Locaux, matériel pour manifestations"
LIGUE INTERNATIONALE CONTRE LE RACISME ET L'ANTISEMITISME - SECTION BORDEAUX & GIRONDE - LICRA,9000,Matériel pour manifestations
ZEKI,9000,
ASSOCIATION DES BROCANTEURS DES CHARTRONS - ABC,8907,Matériel pour manifestations
CLUB SERVICES 33,8800,
LANGUES EN SCÈNE,8640,
AMICALE DES PARENTS D'ELEVES DE L'ECOLE STEHELIN,8605,
BORDEAUX CHANSON,8500,Locaux
"ASSOCIATION DES COMMERCANTS ""BARRIERE DE PESSAC"" BORDEAUX-TALENCE",8400,
HOCKEY GARONNE SPORT,8308,"Locaux, équipements sportifs"
VILLAGE DE LA GROSSE CLOCHE,8300,Matériel pour manifestations
CENTRE DE VOILE DE BORDEAUX-LAC,8200,Locaux
BORDEAUX ACCUEILLE,8000,"Locaux, matériel pour manifestations"
COMITE REGIONAL UFOLEP AQUITAINE,8000,
COMPAGNIE DES LUBIES,8000,
CRYPSUM,8000,
DEFI,8000,
L'ENVERS,8000,
LA COMPAGNIE BOUGRELAS,8000,
LE COKTAIL,8000,
THEATRE POPULAIRE JOB,8000,Locaux
UNION DEPARTEMENTALE DES ASSOCIATIONS DE COMBATTANTS ET VICTIMES DE GUERRE DE LA GIRONDE (UDAC),8000,
APSARAS,7932,
DANSE AVEC NOUS,7800,"Communication, locaux, matériel pour manifestations"
MONTS ET MERVEILLES,7800,Locaux
UNION BORDEAUX NORD DES ASSOCIATIONS DE PREVENTION SPECIALISEE,7800,
"ACADEMIE DES SCIENCES, BELLES LETTRES ET ARTS DE BORDEAUX",7600,"Locaux, matériel pour manifestations"
GRAND PORT MARITIME DE BORDEAUX,7600,
AQUITAINE ACTIVE,7500,
LE GIROFARD,7500,Matériel pour manifestations
ASSOCIATION DES COMMERCANTS DE SAINT-AUGUSTIN,7475,"Locaux, matériel pour manifestations"
KAN-KRA TEAM,7370,Equipements sportifs
CALK - COMITE D'ANIMATION LAFONTAINE KLEBER,7300,"Locaux, matériel pour manifestations"
RECUP'R,7100,Matériel pour manifestations
ASSOCIATION RENAISSANCE DES CITES D'EUROPE,7000,Locaux
BORDEAUX OPEN AIR,7000,Matériel pour manifestations
CENTRE D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES DE LA GIRONDE,7000,
CENTRE REGIONAL D'ECO-ENERGETIQUE D'AQUITAINE - CREAQ,7000,Locaux
IMPACTS AQUITAINE,7000,"Locaux, équipements sportifs"
LA TIERCE,7000,
LOGEA,7000,
FOYER SOCIO-EDUCATIF HORTICOLE,7000,
VIVRE A CAUDERAN,6900,Matériel pour manifestations
UNION DEPARTEMENTALE CONSOMMATION LOGEMENT ET CADRE DE VIE,6800,
ACTIMAGE,6500,
LES CAPRICES DE MARIANNE,6500,
TOMBES DU CIEL,6500,
TUTTI,6500,
VERY CHEAP PRODUCTION,6500,
LE FESTIN ,6400,"Locaux, matériel pour manifestations, matériel"
RUE BOUFFARD - ASSOCIATION DES COMMERCANTS,6182,
UNION FRANCAISE SANTE BUCCO-DENTAIRE 33,6100,
AGENCE LOCALE DE L'ENERGIE ET DU CLIMAT (ALEC),6000,Locaux
CLAP SUD OUEST,6000,
COMPAGNIE FOND VERT,6000,
COMPAGNIE LE GRAIN,6000,
J'ADORE CE QUE VOUS FAITES,6000,
LA CHIFFONE RIT,6000,
LA MAISON DES FAMILLES DE BORDEAUX,6000,Locaux
LES FEES PAPILLONS,6000,
MAISON DES FEMMES DE BORDEAUX,6000,"Locaux, matériel pour manifestations"
MANDORA,6000,"Locaux, matériel pour manifestations"
RENAISSANCE DE L'ORGUE A BORDEAUX,6000,"Locaux, matériel pour manifestations"
ASSOCIATION JUDAIQUE ST SEURIN,5900,
CDANSLABOITE,5750,Locaux
ASSOCIATION DES COMMERCANTS DU GRAND PARC,5688,Matériel pour manifestations
AIDES AQUITAINE,5500,
ASSOCIATION CULTURELLE DU MARCHE DES CHARTRONS,5500,Locaux
GRANDIR ENSEMBLE,5500,Equipements sportifs
MERCI GERTRUDE,5500,Matériel pour manifestations
VELO CITE,5394,Matériel pour manifestations
ACCOMPAGNEMENT PSYCHOLOGIQUE ET MEDIATION INTERCULTURELLE - AMI,5000,
ADORA,5000,Locaux
AGORA DES ARTS,5000,Matériel pour manifestations
ASSOCIATION DU PATRIMOINE ISRAELITE D'AQUITAINE,5000,
ASSOCIATION GENERATION DUPATY,5000,Equipements sportifs
ASSOCIATION OXYGENE,5000,"Locaux, matériel pour manifestations"
BOXING CLUB ALAMELE,5000,
CLUB REGIONAL DES ENTREPRISES POUR L'INSERTION DE GIRONDE,5000,
COMPAGNIE HORS SÉRIE,5000,
CROUS DE BORDEAUX (CENTRE REGIONAL DES OEUVRES UNIVERSITAIRES ET SCOLAIRES),5000,
FEDERATION FRANCAISE D'ATHLETISME,5000,
GUYENNE HANDI-NAGES,5000,Equipements sportifs
LE DESSOUS DES BALANCOIRES,5000,
LE PAIN DE L'AMITIE,5000,
LES DISQUES DU FENNEC,5000,
MAISON DE SANTE PROTESTANTE DE BORDEAUX BAGATELLE,5000,
UNIVERSITE SCIENCES TECHNOLOGIES LILLE 1 - CUEEP,5000,
WIMOOV,5000,
BORDEAUX METROPOLE,5000,
ASSOCIATION DES COMMERCANTS DE LA BARRIERE JUDAIQUE,4880,Matériel pour manifestations
ASPOM JUDO CLUB,4850,
ASSOCIATION DES COMMERCANTS DU CENTRE COMMERCIAL MERIADECK,4700,
"LE LABO, REVELATEUR D'IMAGES",4634,Matériel pour manifestations
ASSOCIATION SPORTIVE DU GOLF DE BORDEAUX LAC,4600,Matériel pour manifestations
ATELIER D'ECO SOLIDAIRE,4550,Matériel pour manifestations
ACCORDERIE BORDEAUX SUD,4500,Locaux
"ALLIANCE DEPARTEMENT 33, JUSQU'AU BOUT ACCOMPAGNER LA VIE...",4500,Locaux
EN ROUTE POUR TRAVAILLER,4500,
IMAGINA MUSIC,4500,Locaux
L'ESPRIT DU PIANO,4500,"Communication, locaux"
LA TRIBALE DEMARCHE,4500,Matériel pour manifestations
LUDOLUDIK,4500,Matériel pour manifestations
MAM LES LUCIOLES,4500,
ASSOCIATION DES COMMERCANTS DE LA RUE DES REMPARTS,4420,
ASSOCIATION DES EXPLOITANTS DU CENTRE COMMERCIAL QUAI DES MARQUES,4400,
SAINT CHRISTOLY GIE,4400,
Ô PLAFOND Entreprises,4300,Matériel pour manifestations
FOOT BALL CLUB BORDEAUX AQUITAINE 33,4250,Equipements sportifs
ASSOCIATION DES ECLAIREUSES ET ECLAIREURS DE FRANCE - REGION AQUITAINE,4072,Matériel pour manifestations
AMICALE DES LOCATAIRES DU PORT DE LA LUNE,4000,
AR'KHAN,4000,
ASSOCIATION DE GESTION DES CENTRES PSYCHANALYTIQUES DE CONSULTATIONS ET DE TRAITEMENT (CPCT),4000,Locaux
ASSOCIATION DE SOLIDARITE AVEC TOUS LES IMMIGRES - BORDEAUX (ASTI BORDEAUX),4000,Locaux
ASSOCIATION DES COMMERÇANTS DU QUARTIER SAINT MICHEL AUTOUR DE LA FLECHE,4000,
ASSOCIATION LES CREANTS,4000,Locaux
ASSOCIATION SPORT EMPLOI,4000,
BORDEAUX-BASTIDE-ESCRIME,4000,"Equipements sportifs, matériel pour manifestations"
BREV’ART ,4000,"Locaux, matériel pour manifestations, matériel"
DATCHA,4000,
DRISSE,4000,
ECOM33,4000,
ELLIPTIQUE DYNAMO,4000,
EQUIPE SAINT VINCENT BORDEAUX CENTRE,4000,
GROUPE 33,4000,
JEUNES MUSULMANS DE LA GIRONDE - JMG,4000,Locaux
L'ATELIER DES BAINS DOUCHES,4000,
LE QUAI AUX LIVRES,4000,
LES AMIS DU GRAND THEATRE - OPERA DE BORDEAUX,4000,"Locaux, matériel pour manifestations"
MA PTITE MAM ECOLO,4000,
MOUVEMENT AUTONOME DE DETOURNEMENT EURISTIQUE (MADE),4000,
MOUVEMENT DU 8 OCTOBRE,4000,
NOS REVES PRODUCTIONS,4000,
OLA,4000,
PLUME PALETTE,4000,
SKIN JACKIN BORDEAUX,4000,
SUR MESURE,4000,
UNISPHERES,4000,
COMMERCANTS DU VILLAGE NANSOUTY,3917,
POMME D'API,3800,
BORDEAUX MARITIME SAUVETAGE & SECOURISME - BM2S,3700,Equipements sportifs
SAINT AUGUSTIN 2015,3700,"Locaux, matériel pour manifestations"
ASSOCIATION BORDEAUX-COMPOSTELLE HOSPITALITE SAINT-JACQUES,3500,Locaux
ASSOCIATION PROMOTION DU GRAND SAINT-MICHEL,3500,
BASTIDE BENAUGE FUTSAL,3500,Equipements sportifs
COMPAGNIE DES LIMBES,3500,
ESPRIT DE QUARTIER,3500,"Locaux, matériel pour manifestations"
LA CHEVRE NOIRE,3500,
SCRIPT,3500,
UNION SPORTIVE VILLENAVAISE CYCLISME,3500,
UNIVERSITE DE BORDEAUX,3500,"Equipements sportifs, matériel pour manifestations"
VOLONTAIRES BORDEAUX 98,3400,
JEUNE CHAMBRE ECONOMIQUE DE BORDEAUX,3300,
ASSOCIATION BORDEAUX GAMES,3220,
ASSOCIATION DES PARALYSES DE FRANCE - APF,3200,Matériel pour manifestations
BORDEAUX-GIRONDE-QUEBEC,3200,Locaux
LA CABANE A GRATTER,3200,Locaux
AMIS DE L'HOTEL DE LALANDE,3109,
ASSOCIATION DEPARTEMENTALE POUR INFORMATION AU LOGEMENT 33 - ADIL33,3030,
A PETIT PAS,3000,
APPRENTISSA'JEU,3000,
ASSOCIATION DES COMMERCANTS ET ARTISANS LES BERGES DU LAC,3000,Matériel pour manifestations
ASSOCIATION L'ALTERNATIVE-KOUABO,3000,
ASSOCIATION NATIONALE DES JEUNES ENTREPRENEURS D AQUITAINE,3000,
ASSOCIATION NATIONALE LE REFUGE,3000,Locaux
ASSOCIATION PETRONILLE,3000,
ASSOCIATION RAYMONDE ROUSSELLE,3000,
BACALAN TENNIS CLUB - BTC,3000,Equipements sportifs
BADMINTON CLUB BARBEY,3000,"Equipements sportifs, matériel pour manifestations"
BORDEAUX FOOTBALL AMERICAIN - LES LIONS DE BORDEAUX,3000,Equipements sportifs
CATHEDRA,3000,"Locaux, matériel pour manifestations"
CIE L'ESPECE FABULATRICE,3000,
CIMADE - SERVICE OECUMENIQUE D'ENTRAIDE,3000,Locaux
CLUB ALPIN FRANCAIS DE BORDEAUX,3000,"Locaux, matériel pour manifestations"
COMPAGNIE BIVOUAC,3000,
