AMICALE DES PARENTS D'ELEVES DE L'ECOLE STEHELIN,"8 605,00",
AMICALE DES RETRAITES U.G.R.R. - I.S.I.C.A. DE BORDEAUX,"0,00",Locaux
AMICALE DES SAPEURS POMPIERS DU SECTEUR D'INTERVENTION,"0,00",Matériel pour manifestations
DE BORDEAUX METROPOLE,,
AMICALE DU PATRONAGE LAIQUE ET DU CONSEIL DE PARENTS,"0,00",Matériel pour manifestations
D'ELEVES DU GROUPE SCOLAIRE NUYENS,,
AMICALE LAIQUE BORDEAUX BENAUGE,"1 759,00",
AMICALE LAIQUE BORDEAUX CENTRE,"2 500,00","Equipements sportifs, locaux"
AMICALE LAIQUE DAVID JOHNSTON LAGRANGE ALBERT BARRAUD,"389 346,00",
NAUJAC,,
AMICALE LAIQUE DU GROUPE SCOLAIRE LEONARD-LENOIR -,"0,00",Equipements sportifs
MONTAUD - NUITS,,
AMIS D'ARS ET FIDES BORDEAUX,"2 000,00","Matériel pour manifestations, locaux"
AMIS DE L'HOTEL DE LALANDE,"2 434,58",
AMIS DE L'ORCHESTRE D'HARMONIE DE BORDEAUX,"4 000,00",
AMIS DU CAPC MUSEE,"0,00",Matériel pour manifestations
AMIS DU SCOUTISME EUROPEEN DE GIRONDE,"2 250,00",
"AMITIE MULTICULTURELLE INTEGRATION SOCIO-ECONOMIQUE,","0,00",Locaux
"PROMOTION, ANIMATION, DEVELOPPEMENT (AMISPAD)",,
AMITIES FRANCAISES,"0,00",Locaux
AMITIES GENEALOGIQUES BORDELAISES,"0,00",Locaux
AMNESTY INTERNATIONAL GROUPE 234 DE BORDEAUX CENTRE,"0,00",Locaux
AMOS,"15 000,00",
ANCIENS BASTIDIENS-CLUB,"0,00",Locaux
ANIMATIONS VILLAGE SAINT-SEURIN,"0,00","Matériel pour manifestations, locaux"
ANPAA - ASSOCIATION NATIONALE DE PREVENTION EN,"10 000,00",Locaux
ALCOOLOGIE ET EN ADDICTOLOGIE,,
ANTROPOLOGIA,"0,00",Locaux
APA SANTE NUTRITION,"1 512,00",
APEL ASSOMPTION SAINTE CLOTIDE,"700,00",
APNEE 33,"0,00",Equipements sportifs
APOSTROPHE Z,"1 200,00",Locaux
APPEL DES CENT POUR LA PAIX COLLECTIF BORDELAIS,"0,00","Matériel pour manifestations, locaux"
APPRENDRE AVEC MONTESSORI AUJOURD'HUI,"0,00",Locaux
APPRENTISSA'JEU,"1 000,00",
APSARAS,"8 000,00",
AQUATIC BORDEAUX CAUDERAN CLUB - AB2C,"0,00","Equipements sportifs, locaux"
AQUINUM - ASSOCIATION DES PROFESSIONNELS DU NUMERIQUE,"21 000,00",
EN AQUITAINE,,
AQUITAINE ACTIVE,"7 500,00",Locaux
AQUITAINE AFRIQUE INITIATIVES (AQAFI),"0,00",Locaux
AQUITAINE ARTISTIQUE ANIMATION,"0,00",Matériel pour manifestations
AQUITAINE CULTURE,"1 000,00",
AQUITAINE PARTAGE,"2 500,00",Matériel pour manifestations
AQUITAINE SPORT POUR TOUS,"0,00",Matériel pour manifestations
AQUITEC,"9 000,00",Matériel pour manifestations
