web-scraper-start-url,nom,description,adresse,code postal,telephone,president,site web,categorie
https://assos.bordeaux.fr/association/detail/1106,AGAPA,"Agapa accompagne toutes les personnes touchées par une grossesse interrompue, quelle qu’en soit la raison : deuil périnatal, mort in utéro, IMG, fausse couche, IVG, réduction embryonnaire…. Lieu d’échanges apaisé, sans jugement et sans idéologie, pour ceux et celles qui souhaitent parler de qu’ils ont vécu.",380 cours de la somme                                                                                                ,33000,07 50 67 09 91,null,association-agapa.fr,"Entraide, solidarité, humanitaire"
https://assos.bordeaux.fr/association/detail/800,ASSOCIATION DES CENTRES D'ANIMATION DE QUARTIERS DE BORDEAUX - CENTRE D'ANIMATION SAINT-MICHEL - ACAQB,"L’association des centres d’animation de quartiers de Bordeaux (ACAQB), se compose aujourd’hui de 11 centres d’animation à vocation sociale et culturelle répartis sur les deux rives de Bordeaux. Le centre d’animation Saint Michel propose un large panel d’activités et anime un pôle arts de la parole notamment grâce au partenariat avec le festival Chahuts.",25 rue Permentade                                                                                                ,33000,05 56 91 32 08,Jean-Charles Palau,www.acaqb.fr,"Vivre ensemble, vie quotidienne"
https://assos.bordeaux.fr/association/detail/754,SANGHAM,"Sangham propose de nouvelles perspectives d'exploitation chorégraphique par l'intermédiaire de la danse martiale ancestrale qu'est le Kalaripayat. Nous vous proposons des ateliers et des cours hebdomadaires, mais aussi le Kalari Yoga, le massage ayurvédique sur chaise et sur table. Toutes nos activités ont pour but de renforcer l'intégrité de la personne dans son environnement tout en favorisant le lien social.",134 cours Saint-Louis                                 Résidence clos saint-louis bât 4 apt. 412                                                                                                             ,33300,06 44 81 26 71,null,kalaripayat-bordeaux.org/objectif,Sport
https://assos.bordeaux.fr/association/detail/933,BORDEAUX DANCESPORT GALAXY - BDSG,"Promouvoir, pratiquer, favoriser et développer, à titre principal, la danse sportive et de salon et, à titre secondaire, toutes autres formes de danses ainsi que toutes activités permettant la réalisation de cet objectif telles que, par exemple, des cours, stages, soirées, démonstrations, spectacles et autres manifestations.",6 Rue Des Girondins                                                                                                ,33200,06 68 08 21 00,null,bordeauxdancesportgalaxy.fr,Culture
https://assos.bordeaux.fr/association/detail/1526,LAB'ELLE COMPAGNIE ISABELLE CHEVEAU,"- A travers nos actions, promouvoir l'art chorégraphique auprès du plus grand nombre 
- Favoriser les rencontres entre professionnels et amateurs
- Créer des échanges sociaux-culturels, artistiques et intergénérationnels",224 rue du jardin public                                 appartement 10                                                                                                             ,33300,06 82 58 07 13,null,null,Culture
https://assos.bordeaux.fr/association/detail/828,UNTENDANSES,"Promouvoir les arts et proposer des cours et activités liés aux domaines artistique, culturel et multimédia
Organiser des événements à but festif et convivial",21 quai de bacalan                                                                                                ,33300,05 56 39 85 04,null,www.untendanses.com,Culture
https://assos.bordeaux.fr/association/detail/697,COMITE BORDEAUX BRISTOL - ABB,,pas d'adresse,,,null,null,null
https://assos.bordeaux.fr/association/detail/1716,L'ENTRAIDE PHILOSOPHIQUE,"Réunir des personnes souhaitant dans une démarche évolutive et valorisante, par l'apprentissage et le développement de la pensée philosophique, par un travail interactif, appréhender la philosophie sous ses différents domaines. Mise œuvre de rencontres philosophiques, abordant les thèmes proposés par ses adhérents sans restriction du domaine traité,sous la forme de cours, d'ateliers ou autres formes d'échanges.",37 rue Jules Mabit                                                                                                ,33200,06 83 86 10 68,Jean José Solano,null,Sciences
https://assos.bordeaux.fr/association/detail/1295,PHILIA BORDEAUX,"Menées par François-Xavier Bellamy (normalien, agrégé de philosophie), les Soirées de la Philo sont destinées à tous ceux qui veulent prendre un peu de temps pour réfléchir et se former. Chaque soirée est consacrée à une question précise. A Bordeaux, elles s'organisent autour de la projection des soirées enregistrées à Paris, puis débouchent autour d'un verre sur une discussion prolongeant la question du soir.",23 rue du Hâ                                                                                                 ,33000,06 68 56 40 37,François-Xavier Bellamy,www.philia-asso.fr/bordeaux,Culture
https://assos.bordeaux.fr/association/detail/638,LE CHOEUR MÉLUSINE,"Enseignement et expression du chant choral à 3 ou 4 voix, adaptés à tous les niveaux et tous les ages  afin de créer du lien social. Répertoire principalement issu de la variété française.",27 rue Charlevoix de Villers                                                                                                ,33300,06 11 69 11 52,null,choeurmelusine.wordpress.com,Culture
