Année,nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
2016,"SOLIHA, SOLIDAIRES POUR L'HABITAT, GIRONDE",73900,Locaux
2016,SEMER LE DOUTE ,73250,"Communication, locaux, matériel pour"
2016,HALTE 33,66000,
2016,RESEAU PAUL BERT CENTRE SOCIAL ET CULTUREL,64000,
2016,AGENCE D'URBANISME BORDEAUX METROPOLE AQUITAINE (A'URBA),60000,
2016,CHAHUTS,57500,"Communication, locaux, matériel pour manifestations"
2016,LA CAISSE A OUTILS,57005,
2016,LA MEMOIRE DE BORDEAUX METROPOLE,56105,"Locaux, matériel informatique"
2016,MAISON DE L'EUROPE BORDEAUX-AQUITAINE (MEBA),56000,Locaux
2016,ASSOCIATION LAIQUE LE PRADO,55000,
2016,LES PETITS DEBROUILLARDS AQUITAINE,54201,Matériel pour manifestations
2016,FONDATION D'AUTEUIL AQUITAINE,52500,Locaux
2016,THEATRE DU PONT TOURNANT,52250,
2016,REGIE DE QUARTIER HABITER BACALAN,51000,Locaux
2016,ASSOCIATION DE DEFENSE DES MUSIQUES ALTERNATIVES EN AQUITAINE - ADMAA (ALLEZ LES FILLES),50580,"Communication, matériel pour manifestations"
2016,ASSOCIATION UNION BORDEAUX BEGLES,50000,Matériel pour manifestations
2016,LA CITE DU VIN,50000,
2016,LE SERVICE GAGNANT,50000,
2016,MAIRES RESPONSABLES METROPOLES FRANCOPHONES - AIMF,50000,
2016,CENTRE D'INFORMATION JEUNESSE AQUITAINE - CIJA,49000,"Locaux, matériel pour manifestations"
2016,"ECOLE DE CIRQUE DE BORDEAUX, CENTRE CULTUREL DES ARTS DU CIRQUE",46500,Locaux
2016,MAISON DE NOLAN,46000,
2016,ASSOCIATION GIRONDINE D'EDUCATION SPECIALISEE ET DE PREVENTION SOCIALE - AGEP,45400,Locaux
2016,ATELIER GRAPHITE,44200,Locaux
2016,COMPAGNIE DES MARCHES DE L'ETE,41500,"Communication, locaux, matériel pour manifestations"
2016,MUSIQUES DE NUIT - DIFFUSION,40700,"Communication, matériel pour manifestations"
2016,CONGRES ET EXPOSITIONS DE BORDEAUX,40000,"Communication, matériel pour manifestations"
2016,ASSOCIATION PROMOTION INSERTION SPORT EN AQUITAINE - APIS,37754,"Equipements sportifs, matériel pour manifestations"
2016,MIGRATIONS CULTURELLES AQUITAINE - AFRIQUES (MC2A),37500,"Locaux, matériel pour manifestations, matériel"
2016,ASSOCIATION DU LIEN INTERCULTUREL FAMILIAL ET SOCIAL - ALIFS,37000,"Locaux, matériel pour manifestations"
2016,BORDEAUX BASTIDE BASKET,35895,"Equipements sportifs, matériel pour manifestations"
2016,MANA,35500,"Locaux, matériel pour manifestations"
