Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B3300;2021;L3300;L3300.1.03;;Appartement;3. Entre 1971-1990;;;;Appart 2P;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;3. Entre 1971-1990;;;;Appart 3P;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;3. Entre 1971-1990;;;;Appart 4P+;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;3. Entre 1971-1990;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;3. Entre 1971-1990;;2. 1 an et plus;;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;4. Entre 1991-2005;;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.03;;Appartement;4. Entre 1991-2005;;;;Appart 1P;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;4. Entre 1991-2005;;;;Appart 2P;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;4. Entre 1991-2005;;;;Appart 3P;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;4. Entre 1991-2005;;;;Appart 4P+;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;4. Entre 1991-2005;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;4. Entre 1991-2005;;2. 1 an et plus;;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;5. Après 2005;;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.03;;Appartement;5. Après 2005;;;;Appart 1P;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;5. Après 2005;;;;Appart 2P;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;5. Après 2005;;;;Appart 3P;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;5. Après 2005;;;;Appart 4P+;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;5. Après 2005;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.03;;Appartement;5. Après 2005;;2. 1 an et plus;;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;;;;;;;;8,9;10,1;11,4;12,7;14,5;11,0;445;517;611;770;980;664;61;7312;29050;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;;Maison 1-3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;;Ensemble 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;;Maison 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;;Appart 1P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;;Appart 2P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;;Appart 3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;;Appart 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;;Ensemble 1P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;;Ensemble 2P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;;Ensemble 3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;Maison 1-3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;Ensemble 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;Maison 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;Appart 1P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;Appart 2P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;Appart 3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;Appart 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;Ensemble 1P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;Ensemble 2P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;;Ensemble 3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;1. Moins de 1 an;;;9,6;10,6;11,9;13,4;15,7;11,7;443;520;614;770;1000;674;58;1831;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;;2. 1 an et plus;;;8,6;10,0;11,2;12,4;13,9;10,7;445;514;610;767;970;660;62;5481;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;1. Moins de 1 an;;;;9,6;10,6;11,9;13,4;15,7;11,7;443;520;614;770;1000;674;58;1831;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;;2. 1 an et plus;;;;8,6;10,0;11,2;12,4;13,9;10,7;445;514;610;767;970;660;62;5481;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;1. Avant 1946;;;;;7,4;9,1;10,9;12,6;15,3;10,3;380;463;600;800;1000;655;63;291;1720;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;1. Avant 1946;;;;Maison 1-3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;1. Avant 1946;;;;Maison 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;1. Avant 1946;;;;Appart 1P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;1. Avant 1946;;;;Appart 2P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;1. Avant 1946;;;;Appart 3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;1. Avant 1946;;;;Appart 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;1. Avant 1946;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;1. Avant 1946;;2. 1 an et plus;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;2. Entre 1946-1970;;;;;7,1;8,6;10,3;12,4;14,6;10,2;485;563;700;880;1051;737;72;198;3313;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;2. Entre 1946-1970;;;;Maison 1-3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;2. Entre 1946-1970;;;;Maison 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;2. Entre 1946-1970;;;;Appart 1P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;2. Entre 1946-1970;;;;Appart 2P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;2. Entre 1946-1970;;;;Appart 3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;2. Entre 1946-1970;;;;Appart 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;2. Entre 1946-1970;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;2. Entre 1946-1970;;2. 1 an et plus;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;3. Entre 1971-1990;;;;;8,0;9,5;11,1;13,0;15,5;10,5;430;500;580;846;1030;674;64;449;5274;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;3. Entre 1971-1990;;;;Maison 1-3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;3. Entre 1971-1990;;;;Maison 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;3. Entre 1971-1990;;;;Appart 1P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;3. Entre 1971-1990;;;;Appart 2P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;3. Entre 1971-1990;;;;Appart 3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;3. Entre 1971-1990;;;;Appart 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;3. Entre 1971-1990;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;3. Entre 1971-1990;;2. 1 an et plus;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;4. Entre 1991-2005;;;;;9,3;10,3;11,6;13,3;16,8;11,5;444;522;640;876;1068;705;61;851;5634;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;4. Entre 1991-2005;;;;Maison 1-3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;4. Entre 1991-2005;;;;Maison 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;4. Entre 1991-2005;;;;Appart 1P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;4. Entre 1991-2005;;;;Appart 2P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;4. Entre 1991-2005;;;;Appart 3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;4. Entre 1991-2005;;;;Appart 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;4. Entre 1991-2005;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;4. Entre 1991-2005;;2. 1 an et plus;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;5. Après 2005;;;;;9,7;10,5;11,5;12,6;13,8;11,2;468;520;600;720;865;639;57;5523;13108;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;5. Après 2005;;;;Maison 1-3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;5. Après 2005;;;;Maison 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;5. Après 2005;;;;Appart 1P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;5. Après 2005;;;;Appart 2P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;5. Après 2005;;;;Appart 3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;5. Après 2005;;;;Appart 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;5. Après 2005;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;;5. Après 2005;;2. 1 an et plus;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;1. Avant 1946;;;;;;7,4;9,1;10,9;12,6;15,3;10,3;380;463;600;800;1000;655;63;291;1720;Estimation directe
B3300;2021;L3300;L3300.1.04;;;1. Avant 1946;;;;Maison 1-3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;1. Avant 1946;;;;Maison 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;1. Avant 1946;;;;Appart 1P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;1. Avant 1946;;;;Appart 2P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;1. Avant 1946;;;;Appart 3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;1. Avant 1946;;;;Appart 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;1. Avant 1946;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;1. Avant 1946;;2. 1 an et plus;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;2. Entre 1946-1970;;;;;;7,1;8,6;10,3;12,4;14,6;10,2;485;563;700;880;1051;737;72;198;3313;Estimation directe
B3300;2021;L3300;L3300.1.04;;;2. Entre 1946-1970;;;;Maison 1-3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;2. Entre 1946-1970;;;;Maison 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;2. Entre 1946-1970;;;;Appart 1P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;2. Entre 1946-1970;;;;Appart 2P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;2. Entre 1946-1970;;;;Appart 3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;2. Entre 1946-1970;;;;Appart 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;2. Entre 1946-1970;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;2. Entre 1946-1970;;2. 1 an et plus;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;3. Entre 1971-1990;;;;;;8,0;9,5;11,1;13,0;15,5;10,5;430;500;580;846;1030;674;64;449;5274;Estimation directe
B3300;2021;L3300;L3300.1.04;;;3. Entre 1971-1990;;;;Maison 1-3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;3. Entre 1971-1990;;;;Maison 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;3. Entre 1971-1990;;;;Appart 1P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;3. Entre 1971-1990;;;;Appart 2P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;3. Entre 1971-1990;;;;Appart 3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;3. Entre 1971-1990;;;;Appart 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;3. Entre 1971-1990;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;3. Entre 1971-1990;;2. 1 an et plus;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;4. Entre 1991-2005;;;;;;9,3;10,3;11,6;13,3;16,8;11,5;444;522;640;876;1068;705;61;851;5634;Estimation directe
B3300;2021;L3300;L3300.1.04;;;4. Entre 1991-2005;;;;Maison 1-3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;4. Entre 1991-2005;;;;Maison 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;4. Entre 1991-2005;;;;Appart 1P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;4. Entre 1991-2005;;;;Appart 2P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;4. Entre 1991-2005;;;;Appart 3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;4. Entre 1991-2005;;;;Appart 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;4. Entre 1991-2005;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;4. Entre 1991-2005;;2. 1 an et plus;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;5. Après 2005;;;;;;9,7;10,5;11,5;12,6;13,8;11,2;468;520;600;720;865;639;57;5523;13108;Estimation directe
B3300;2021;L3300;L3300.1.04;;;5. Après 2005;;;;Maison 1-3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;5. Après 2005;;;;Maison 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;5. Après 2005;;;;Appart 1P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;5. Après 2005;;;;Appart 2P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;5. Après 2005;;;;Appart 3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;5. Après 2005;;;;Appart 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;5. Après 2005;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;;5. Après 2005;;2. 1 an et plus;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;;;;Maison 1-3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;;;;Maison 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;;;Maison 1-3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;;;Maison 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;;1. Moins de 1 an;;Maison 1-3P;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;;;1. Moins de 1 an;;Maison 4P+;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;;;2. 1 an et plus;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;;2. 1 an et plus;;Maison 1-3P;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;;;2. 1 an et plus;;Maison 4P+;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;1. Moins de 1 an;;Maison 1-3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;1. Moins de 1 an;;Maison 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;2. 1 an et plus;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;2. 1 an et plus;;Maison 1-3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;;2. 1 an et plus;;Maison 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;1. Avant 1946;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;1. Avant 1946;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;1. Avant 1946;;2. 1 an et plus;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;2. Entre 1946-1970;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;2. Entre 1946-1970;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;2. Entre 1946-1970;;2. 1 an et plus;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;3. Entre 1971-1990;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;3. Entre 1971-1990;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;3. Entre 1971-1990;;2. 1 an et plus;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;4. Entre 1991-2005;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;4. Entre 1991-2005;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;4. Entre 1991-2005;;2. 1 an et plus;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;5. Après 2005;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;;5. Après 2005;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;;5. Après 2005;;2. 1 an et plus;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Maison;1. Avant 1946;;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;2. Entre 1946-1970;;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;3. Entre 1971-1990;;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;4. Entre 1991-2005;;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Maison;5. Après 2005;;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;;;;;9,2;10,3;11,6;12,8;14,8;11,2;431;505;570;686;785;598;53;6957;22476;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;;;;Appart 1P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;;;;Appart 2P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;;;;Appart 3P;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;;;;Appart 4P+;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;;;Appart 1P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;;;Appart 2P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;;;Appart 3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;;;Appart 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;;1. Moins de 1 an;;;9,7;10,7;12,0;13,4;15,7;11,8;437;510;574;700;807;610;52;1755;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;;1. Moins de 1 an;;Appart 1P;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;;;1. Moins de 1 an;;Appart 2P;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;;;1. Moins de 1 an;;Appart 3P;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;;;1. Moins de 1 an;;Appart 4P+;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;;;2. 1 an et plus;;;9,1;10,2;11,4;12,6;14,2;11,0;430;501;570;683;774;592;54;5202;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;;2. 1 an et plus;;Appart 1P;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;;;2. 1 an et plus;;Appart 2P;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;;;2. 1 an et plus;;Appart 3P;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;;;2. 1 an et plus;;Appart 4P+;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;;1. Moins de 1 an;;;;9,7;10,7;12,0;13,4;15,7;11,8;437;510;574;700;807;610;52;1755;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;1. Moins de 1 an;;Appart 1P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;1. Moins de 1 an;;Appart 2P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;1. Moins de 1 an;;Appart 3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;1. Moins de 1 an;;Appart 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;2. 1 an et plus;;;;9,1;10,2;11,4;12,6;14,2;11,0;430;501;570;683;774;592;54;5202;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;2. 1 an et plus;;Appart 1P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;2. 1 an et plus;;Appart 2P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;2. 1 an et plus;;Appart 3P;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;;2. 1 an et plus;;Appart 4P+;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;1. Avant 1946;;;;;;;;;;;;;;;;;;;;Estimation directe
B3300;2021;L3300;L3300.1.04;;Appartement;;1. Avant 1946;;;;Appart 1P;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;1. Avant 1946;;;;Appart 2P;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;1. Avant 1946;;;;Appart 3P;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;1. Avant 1946;;;;Appart 4P+;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;1. Avant 1946;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;1. Avant 1946;;2. 1 an et plus;;;;;;;;;;;;;;;;;;
B3300;2021;L3300;L3300.1.04;;Appartement;;2. Entre 1946-1970;;;;;;;;;;;;;;;;;;;;Estimation directe
