legislature,id_loi,etape_discussion,id_amendement,date_amendement,etape_texte,action_amendement,resume_amendement,url_pdf,statut_amendement,auteur,groupe_politique,statut_auteur,co-signataires
14,PRJLANR5L14BTC0883,Nouvelle Lecture,AMANR5L14SEA644420BTC0883P0D1N80,2013-04-04T00:00:00Z,Article 20 nonies,"Après l’alinéa 9, insérer les deux alinéas suivants :
« 4° bis Après le premier alinéa du même article est inséré un alinéa ainsi rédigé :
« Pour l’application en Polynésie française de l’article L. 255‑1, les mots : « de 20 000 habitants ou plus » sont supprimés. »","Amendement modifiant les conditions d’application dans les communes de Polynésie française des modes de scrutin municipaux rénovés, telles qu’issus du présent projet de loi, afin d’y préserver l’existence de sections électorales correspondant aux communes associées.
En effet, la Polynésie française compte 48 communes incluant 98 communes associées. à l'exception de Papeete, Uturora, Faa'a et Pirae, les communes n'ont été créées que par la loi du 24 décembre 1971. L’ensemble des communes se répartit sur 118 îles, représentant 4 000 km² de terres émergées dispersées sur 4 millions de kilomètres carrés d’océan.
Les communes associées n'y correspondent donc pas à d'anciennes communes fusionnées, mais ont été mise en place pour prendre en compte la situation particulière de communes dispersées sur plusieurs îles dès leur création. Ainsi à titre d’exemple, la commune de Fangatau, comptant 252 habitants, est constituée de deux communes associées correspondant à deux atolls distants de 90 km.
Aussi la suppression du sectionnement électoral correspondant aux communes associées y aurait des conséquences particulièrement sensibles en termes de représentation de proximité. Il semble donc judicieux de maintenir dans ces communes, du fait de leur caractéristiques géographiques, les sections électorales correspondant aux communes associées.",/14/amendements/0883/AN/80.pdf,Discuté,Pascal Popelin,SER,Depute,Pascal Popelin
14,PRJLANR5L14BTC0883,Nouvelle Lecture,AMANR5L14SEA644420BTC0883P0D1N79,2013-04-04T00:00:00Z,Article 26,"À l’alinéa 2, supprimer la référence :
« du II ».",Correction d’une référence dans l’énumération des articles ayant vocation à entrer en application dès la promulgation de la loi issue du présent texte.,/14/amendements/0883/AN/79.pdf,Discuté,Pascal Popelin,SER,Depute,Pascal Popelin
14,PRJLANR5L14BTC0883,Nouvelle Lecture,AMANR5L14SEA644420BTC0883P0D1N164,2013-04-05T00:00:00Z,Article 20 nonies,"Après l’alinéa 13, insérer les trois alinéas suivants :
« 5° bis Le même article est complété par deux alinéas ainsi rédigés :
« Pour leur application en Polynésie française, les deuxième et avant-dernier alinéas de l’article L. 261 sont remplacés par un alinéa ainsi rédigé :
« L’article L. 255‑1 est applicable. »","Amendement modifiant les conditions d’application dans les communes de Polynésie française des modes de scrutin municipaux rénovés, telles qu’issus du présent projet de loi, afin d’y préserver l’existence de sections électorales correspondant aux communes associées.
En effet, la Polynésie française compte 48 communes incluant 98 communes associées. à l'exception de Papeete, Uturora, Faa'a et Pirae, les communes n'ont été créées que par la loi du 24 décembre 1971. L’ensemble des communes se répartit sur 118 îles, représentant 4 000 km² de terres émergées dispersées sur 4 millions de kilomètres carrés d’océan.
Les communes associées n'y correspondent donc pas à d'anciennes communes fusionnées, mais ont été mise en place pour prendre en compte la situation particulière de communes dispersées sur plusieurs îles dès leur création. Ainsi à titre d’exemple, la commune de Fangatau, comptant 252 habitants, est constituée de deux communes associées correspondant à deux atolls distants de 90 km.
Aussi la suppression du sectionnement électoral correspondant aux communes associées y aurait des conséquences particulièrement sensibles en termes de représentation de proximité. Il semble donc judicieux de maintenir dans ces communes, du fait de leur caractéristiques géographiques, les sections électorales correspondant aux communes associées.",/14/amendements/0883/AN/164.pdf,Discuté,Pascal Popelin,SER,Depute,Pascal Popelin
14,PRJLANR5L14BTC0883,Nouvelle Lecture,AMANR5L14SEA644420BTC0883P0D1N127,2013-04-04T00:00:00Z,Article 20,"À l’alinéa 25, après la première occurrence du mot :
« municipal »
insérer les mots :
« ou conseiller d’arrondissement ».","Amendement rédactionnel, visant à prendre en compte le principe posé à l’article L. 273‑5 selon lequel pour être élu, un conseiller communautaire doit exercer concomitamment un mandat de conseiller municipal ou un mandat de conseiller d’arrondissement à Lyon, Marseille ou Paris.",/14/amendements/0883/AN/127.pdf,Discuté,Pascal Popelin,SER,Depute,Pascal Popelin
14,PRJLANR5L14BTC0883,Nouvelle Lecture,AMANR5L14SEA644420BTC0883P0D1N124,2013-04-04T00:00:00Z,Article 20,"À l’alinéa 37, après la première occurrence du mot :
« municipal »
insérer les mots :
« ou de conseiller d’arrondissement ».","Amendement rédactionnel, visant à prendre en compte le principe posé à l’article L. 273‑5 selon lequel pour être élu, un conseiller communautaire doit exercer concomitamment un mandat de conseiller municipal ou un mandat de conseiller d’arrondissement à Lyon, Marseille ou Paris.",/14/amendements/0883/AN/124.pdf,Discuté,Pascal Popelin,SER,Depute,Pascal Popelin
14,PRJLANR5L14BTC0883,Nouvelle Lecture,AMANR5L14SEA644420BTC0883P0D1N125,2013-04-04T00:00:00Z,Article 20,"I. – À l’alinéa 36, après le mot :
« candidat »,
insérer les mots :
« élu conseiller municipal ou conseiller d’arrondissement ».
II. – En conséquence, au même alinéa, après la première occurrence du mot :
« municipal »,
insérer les mots :
« ou conseiller d’arrondissement ».","Amendement rédactionnel, visant à prendre en compte le principe posé à l’article L. 273‑5 selon lequel pour être élu, un conseiller communautaire doit exercer concomitamment un mandat de conseiller municipal ou un mandat de conseiller d’arrondissement à Lyon, Marseille ou Paris.",/14/amendements/0883/AN/125.pdf,Discuté,Pascal Popelin,SER,Depute,Pascal Popelin
14,PRJLANR5L14BTC0883,Nouvelle Lecture,AMANR5L14SEA644420BTC0883P0D1N163,2013-04-05T00:00:00Z,Article 20 nonies,"Rédiger ainsi l’alinéa 12 :
« b) Les mots : « , à l’exception des trois derniers alinéas de l’article L. 261, » sont supprimés ;","Amendement modifiant les conditions d’application dans les communes de Polynésie française des modes de scrutin municipaux rénovés, telles qu’issus du présent projet de loi, afin d’y préserver l’existence de sections électorales correspondant aux communes associées.
En effet, la Polynésie française compte 48 communes incluant 98 communes associées. à l'exception de Papeete, Uturora, Faa'a et Pirae, les communes n'ont été créées que par la loi du 24 décembre 1971. L’ensemble des communes se répartit sur 118 îles, représentant 4 000 km² de terres émergées dispersées sur 4 millions de kilomètres carrés d’océan.
Les communes associées n'y correspondent donc pas à d'anciennes communes fusionnées, mais ont été mise en place pour prendre en compte la situation particulière de communes dispersées sur plusieurs îles dès leur création. Ainsi à titre d’exemple, la commune de Fangatau, comptant 252 habitants, est constituée de deux communes associées correspondant à deux atolls distants de 90 km.
Aussi la suppression du sectionnement électoral correspondant aux communes associées y aurait des conséquences particulièrement sensibles en termes de représentation de proximité. Il semble donc judicieux de maintenir dans ces communes, du fait de leur caractéristiques géographiques, les sections électorales correspondant aux communes associées.",/14/amendements/0883/AN/163.pdf,Discuté,Pascal Popelin,SER,Depute,Pascal Popelin
14,PRJLANR5L14BTC0883,Nouvelle Lecture,AMANR5L14SEA644420BTC0883P0D1N126,2013-04-04T00:00:00Z,Article 20,"À l’alinéa 35, substituer aux mots :
« suivant sur la liste sur laquelle il »
les mots :
« élu conseiller municipal ou conseiller d’arrondissement suivant sur la liste des candidats aux sièges de conseiller communautaire sur laquelle le conseiller à remplacer ».","Amendement rédactionnel, visant à prendre en compte le principe posé à l’article L. 273‑5 selon lequel pour être élu, un conseiller communautaire doit exercer concomitamment un mandat de conseiller municipal ou un mandat de conseiller d’arrondissement à Lyon, Marseille ou Paris.",/14/amendements/0883/AN/126.pdf,Discuté,Pascal Popelin,SER,Depute,Pascal Popelin
14,PRJLANR5L14BTC0884,1ère lecture (2ème assemblée saisie),AMANR5L14SEA644420BTC0884P0D1N54,2013-04-12T00:00:00Z,Article 29 decies,"I. – Au début de l’alinéa 1, insérer les mots :
« I. – Pour l’élection des conseillers consulaires, ».
II. – En conséquence, rédiger ainsi le début de l’alinéa 2 :
« Ils… (le reste sans changement) ».",Amendement de conséquence.,/14/amendements/0884/AN/54.pdf,Discuté,Hugues Fourage,SER,Depute,Hugues Fourage
14,PRJLANR5L14BTC0884,1ère lecture (2ème assemblée saisie),AMANR5L14SEA644420BTC0884P0D1N53,2013-04-12T00:00:00Z,Article 33 sexies A,"Compléter l’alinéa 2 par la phrase suivante :
« Ne sont pas inclus dans le plafond les frais de transport, dûment justifiés, exposés par le candidat en vue de recueillir les suffrages des électeurs. ».","Amendement visant à rectifier une erreur matérielle, en reprenant dans son intégralité l’actuelle rédaction du 3° de l’article L. 308‑1 du code électoral, supprimé par l’article 35 bis du présent projet de loi.",/14/amendements/0884/AN/53.pdf,Retiré,Hugues Fourage,SER,Depute,Hugues Fourage
