AMICALE LAIQUE BORDEAUX CENTRE,"2 500,00","Locaux, équipements sportifs"
AMICALE LAIQUE DAVID JOHNSTON LAGRANGE ALBERT BARRAUD,"450 195,00",Equipements sportifs
NAUJAC,,
AMICALE LAIQUE DU GROUPE SCOLAIRE LEONARD-LENOIR -,"0,00",Equipements sportifs
MONTAUD - NUITS,,
AMICALE LAIQUE LEONARD LENOIR,"0,00",Locaux
AMICALE NATIONALE DES RETRAITES DE L'AUDIOVISUEL,"0,00",Locaux
AMIS D'ARS ET FIDES BORDEAUX,"2 000,00",Locaux
AMIS D'ICI ET D'AILLEURS,"750,00",Locaux
AMIS DE L'HOTEL DE LALANDE,"3 109,00",
AMIS DE L'ORCHESTRE D'HARMONIE DE BORDEAUX,"11 011,00",
AMIS DU CAPC MUSEE,"0,00",Matériel pour manifestations
AMITIES FRANCAISES,"0,00",Locaux
AMITIES GENEALOGIQUES BORDELAISES,"0,00",Locaux
AMNESTY INTERNATIONAL GROUPE 234 DE BORDEAUX CENTRE,"0,00","Locaux, matériel pour manifestations"
AMOR DEL TANGO,"0,00",Locaux
AMOS,"15 000,00",
ANCIENS BASTIDIENS-CLUB,"0,00",Locaux
ANIMATIONS VILLAGE SAINT-SEURIN,"0,00",Matériel pour manifestations
ANPAA - ASSOCIATION NATIONALE DE PREVENTION EN,"30 000,00",Locaux
ALCOOLOGIE ET EN ADDICTOLOGIE,,
APEC (33PASSAJE ),"1 500,00",
APNEE 33,"0,00",Equipements sportifs
APPEL DES CENT POUR LA PAIX COLLECTIF BORDELAIS,"0,00","Locaux, matériel pour manifestations"
APPRENDRE AVEC MONTESSORI AUJOURD'HUI,"0,00",Locaux
APPRENTIS D'AUTEUIL - DELEGATION AQUITAINE,"0,00",Matériel pour manifestations
APPRENTISSA'JEU,"3 000,00",
APSARAS,"7 932,00",
AQUATIC BORDEAUX CAUDERAN CLUB - AB2C,"0,00","Locaux, équipements sportifs"
AQUINUM - ASSOCIATION DES PROFESSIONNELS DU NUMERIQUE,"21 000,00","Locaux, matériel pour manifestations"
EN AQUITAINE,,
AQUITAINE ACTIVE,"7 500,00",
AQUITAINE CULTURE,"2 700,00",
AQUITAINE PARTAGE,"2 500,00",
AQUITAINE PLONGEE SPORT NAUTIQUE APSN,"0,00",Equipements sportifs
AQUITAINE PREFI-CRESS,"0,00",Locaux
AQUITEC,"12 000,00",Matériel pour manifestations
AR'KHAN,"4 000,00",
ARC EN REVE,"752 250,00","Communication, matériel pour manifestations, locaux"
ARC'ANGECIEL VOYAGES,"0,00",Locaux
ARCHIMUSE - BORDEAUX,"0,00",Matériel pour manifestations
AREPT,"0,00",Locaux
ARESVI,"9 880,00",
ART EN ACTION - TIC-TAC THEATRE,"0,00",Locaux
ART EN PRODUCTION,"0,00",Locaux
ART MEDIUM EN SCENES,"0,00",Locaux
ART PASTEL,"0,00",Matériel pour manifestations
